tweet_id,customer_text,gold_intent,gold_response_quality,gold_escalation_decision,notes
t034,@VerizonSupport My payment failed but I was charged,billing_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t035,@VerizonSupport I need help with a billing error,billing_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t036,@VerizonSupport Why was my bill higher than usual,billing_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t037,@VerizonSupport I was charged twice this month,billing_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t038,@VerizonSupport There is a refund not showing on my bill,billing_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t039,@VerizonSupport My payment failed but I was charged,billing_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t040,@VerizonSupport I need help with a billing error,billing_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t041,@VerizonSupport Why was my bill higher than usual,billing_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t042,@VerizonSupport I was charged twice this month,billing_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t043,@VerizonSupport There is a refund not showing on my bill,billing_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t044,@VerizonSupport My payment failed but I was charged,billing_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t045,@VerizonSupport I need help with a billing error,billing_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t046,@VerizonSupport Why was my bill higher than usual,billing_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t047,@VerizonSupport I was charged twice this month,billing_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t048,@VerizonSupport There is a refund not showing on my bill,billing_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t049,@VerizonSupport My payment failed but I was charged,billing_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t050,@VerizonSupport I need help with a billing error,billing_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t051,@VerizonSupport My new phone will not activate,device_activation,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t052,@VerizonSupport The eSIM setup failed,device_activation,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t053,@VerizonSupport SIM activation keeps failing on my device,device_activation,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t054,@VerizonSupport My replacement phone is not activating,device_activation,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t055,@VerizonSupport I cannot finish activating my new line,device_activation,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t056,@VerizonSupport My new phone will not activate,device_activation,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t057,@VerizonSupport The eSIM setup failed,device_activation,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t058,@VerizonSupport SIM activation keeps failing on my device,device_activation,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t059,@VerizonSupport My replacement phone is not activating,device_activation,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t060,@VerizonSupport I cannot finish activating my new line,device_activation,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t061,@VerizonSupport My new phone will not activate,device_activation,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t062,@VerizonSupport The eSIM setup failed,device_activation,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t063,@VerizonSupport SIM activation keeps failing on my device,device_activation,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t064,@VerizonSupport My replacement phone is not activating,device_activation,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t065,@VerizonSupport I cannot finish activating my new line,device_activation,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t066,@VerizonSupport My new phone will not activate,device_activation,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t067,@VerizonSupport The eSIM setup failed,device_activation,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t068,@VerizonSupport SIM activation keeps failing on my device,device_activation,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t069,@VerizonSupport My replacement phone is not activating,device_activation,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t070,@VerizonSupport I cannot finish activating my new line,device_activation,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t071,@VerizonSupport My new phone will not activate,device_activation,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t072,@VerizonSupport The eSIM setup failed,device_activation,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t073,@VerizonSupport SIM activation keeps failing on my device,device_activation,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t074,@VerizonSupport My replacement phone is not activating,device_activation,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t075,@VerizonSupport I cannot finish activating my new line,device_activation,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t076,@VerizonSupport Where is my phone order,delivery_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t077,@VerizonSupport My shipment is late and tracking is stale,delivery_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t078,@VerizonSupport My package has not arrived,delivery_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t079,@VerizonSupport I need a delivery update for my order,delivery_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t080,@VerizonSupport My phone order seems stuck in transit,delivery_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t081,@VerizonSupport Where is my phone order,delivery_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t082,@VerizonSupport My shipment is late and tracking is stale,delivery_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t083,@VerizonSupport My package has not arrived,delivery_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t084,@VerizonSupport I need a delivery update for my order,delivery_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t085,@VerizonSupport My phone order seems stuck in transit,delivery_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t086,@VerizonSupport Where is my phone order,delivery_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t087,@VerizonSupport My shipment is late and tracking is stale,delivery_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t088,@VerizonSupport My package has not arrived,delivery_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t089,@VerizonSupport I need a delivery update for my order,delivery_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t090,@VerizonSupport My phone order seems stuck in transit,delivery_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t091,@VerizonSupport Where is my phone order,delivery_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t092,@VerizonSupport My shipment is late and tracking is stale,delivery_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t093,@VerizonSupport My package has not arrived,delivery_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t094,@VerizonSupport I need a delivery update for my order,delivery_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t095,@VerizonSupport My phone order seems stuck in transit,delivery_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t096,@VerizonSupport Where is my phone order,delivery_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t097,@VerizonSupport My shipment is late and tracking is stale,delivery_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t098,@VerizonSupport My package has not arrived,delivery_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t099,@VerizonSupport I need a delivery update for my order,delivery_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t100,@VerizonSupport My phone order seems stuck in transit,delivery_issue,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t101,@VerizonSupport Verizon service is down in my area,network_outage,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t102,@VerizonSupport My calls keep dropping,network_outage,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t103,@VerizonSupport No signal in my neighborhood today,network_outage,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t104,@VerizonSupport The network has been down all evening,network_outage,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t105,@VerizonSupport I have no service and no internet,network_outage,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t106,@VerizonSupport Verizon service is down in my area,network_outage,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t107,@VerizonSupport My calls keep dropping,network_outage,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t108,@VerizonSupport No signal in my neighborhood today,network_outage,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t109,@VerizonSupport The network has been down all evening,network_outage,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t110,@VerizonSupport I have no service and no internet,network_outage,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t111,@VerizonSupport Verizon service is down in my area,network_outage,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t112,@VerizonSupport My calls keep dropping,network_outage,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t113,@VerizonSupport No signal in my neighborhood today,network_outage,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t114,@VerizonSupport The network has been down all evening,network_outage,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t115,@VerizonSupport I have no service and no internet,network_outage,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t116,@VerizonSupport Verizon service is down in my area,network_outage,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t117,@VerizonSupport My calls keep dropping,network_outage,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t118,@VerizonSupport No signal in my neighborhood today,network_outage,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t119,@VerizonSupport The network has been down all evening,network_outage,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t120,@VerizonSupport I have no service and no internet,network_outage,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t121,@VerizonSupport Verizon service is down in my area,network_outage,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t122,@VerizonSupport My calls keep dropping,network_outage,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t123,@VerizonSupport No signal in my neighborhood today,network_outage,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t124,@VerizonSupport The network has been down all evening,network_outage,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t125,@VerizonSupport I have no service and no internet,network_outage,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t126,@VerizonSupport I want to change to a cheaper plan,plan_change,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t127,@VerizonSupport Can I add a line to my account,plan_change,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t128,@VerizonSupport I need to upgrade my mobile plan,plan_change,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t129,@VerizonSupport How do I cancel my plan,plan_change,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t130,@VerizonSupport Please help me switch plans,plan_change,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t131,@VerizonSupport I want to change to a cheaper plan,plan_change,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t132,@VerizonSupport Can I add a line to my account,plan_change,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t133,@VerizonSupport I need to upgrade my mobile plan,plan_change,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t134,@VerizonSupport How do I cancel my plan,plan_change,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t135,@VerizonSupport Please help me switch plans,plan_change,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t136,@VerizonSupport I want to change to a cheaper plan,plan_change,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t137,@VerizonSupport Can I add a line to my account,plan_change,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t138,@VerizonSupport I need to upgrade my mobile plan,plan_change,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t139,@VerizonSupport How do I cancel my plan,plan_change,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t140,@VerizonSupport Please help me switch plans,plan_change,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t141,@VerizonSupport I want to change to a cheaper plan,plan_change,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t142,@VerizonSupport Can I add a line to my account,plan_change,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t143,@VerizonSupport I need to upgrade my mobile plan,plan_change,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t144,@VerizonSupport How do I cancel my plan,plan_change,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t145,@VerizonSupport Please help me switch plans,plan_change,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t146,@VerizonSupport I want to change to a cheaper plan,plan_change,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t147,@VerizonSupport Can I add a line to my account,plan_change,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t148,@VerizonSupport I need to upgrade my mobile plan,plan_change,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t149,@VerizonSupport How do I cancel my plan,plan_change,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t150,@VerizonSupport Please help me switch plans,plan_change,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t151,@VerizonSupport My 5G is painfully slow today,slow_data,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t152,@VerizonSupport The internet has been buffering all morning,slow_data,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t153,@VerizonSupport My hotspot speeds are unusably slow,slow_data,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t154,@VerizonSupport Data service is crawling in my area,slow_data,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t155,@VerizonSupport My connection keeps dropping while streaming,slow_data,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t156,@VerizonSupport My 5G is painfully slow today,slow_data,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t157,@VerizonSupport The internet has been buffering all morning,slow_data,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t158,@VerizonSupport My hotspot speeds are unusably slow,slow_data,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t159,@VerizonSupport Data service is crawling in my area,slow_data,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t160,@VerizonSupport My connection keeps dropping while streaming,slow_data,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t161,@VerizonSupport My 5G is painfully slow today,slow_data,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t162,@VerizonSupport The internet has been buffering all morning,slow_data,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t163,@VerizonSupport My hotspot speeds are unusably slow,slow_data,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t164,@VerizonSupport Data service is crawling in my area,slow_data,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t165,@VerizonSupport My connection keeps dropping while streaming,slow_data,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t166,@VerizonSupport My 5G is painfully slow today,slow_data,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t167,@VerizonSupport The internet has been buffering all morning,slow_data,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t168,@VerizonSupport My hotspot speeds are unusably slow,slow_data,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t169,@VerizonSupport Data service is crawling in my area,slow_data,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t170,@VerizonSupport My connection keeps dropping while streaming,slow_data,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t171,@VerizonSupport My 5G is painfully slow today,slow_data,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t172,@VerizonSupport The internet has been buffering all morning,slow_data,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t173,@VerizonSupport My hotspot speeds are unusably slow,slow_data,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t174,@VerizonSupport Data service is crawling in my area,slow_data,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t175,@VerizonSupport My connection keeps dropping while streaming,slow_data,good,auto_handle,Seed-generated evaluation example for the Verizon support task.
t176,@VerizonSupport I need a human to review this,human_support,needs_human,escalate,Seed-generated evaluation example for the Verizon support task.
t177,@VerizonSupport Please connect me with a specialist,human_support,needs_human,escalate,Seed-generated evaluation example for the Verizon support task.
t178,@VerizonSupport This issue needs a real agent,human_support,needs_human,escalate,Seed-generated evaluation example for the Verizon support task.
t179,@VerizonSupport Can you send me a secure DM,human_support,needs_human,escalate,Seed-generated evaluation example for the Verizon support task.
t180,"@VerizonSupport I need help from a person, not the app",human_support,needs_human,escalate,Seed-generated evaluation example for the Verizon support task.
t181,@VerizonSupport I need a human to review this,human_support,needs_human,escalate,Seed-generated evaluation example for the Verizon support task.
t182,@VerizonSupport Please connect me with a specialist,human_support,needs_human,escalate,Seed-generated evaluation example for the Verizon support task.
t183,@VerizonSupport This issue needs a real agent,human_support,needs_human,escalate,Seed-generated evaluation example for the Verizon support task.
t184,@VerizonSupport Can you send me a secure DM,human_support,needs_human,escalate,Seed-generated evaluation example for the Verizon support task.
t185,"@VerizonSupport I need help from a person, not the app",human_support,needs_human,escalate,Seed-generated evaluation example for the Verizon support task.
t186,@VerizonSupport I need a human to review this,human_support,needs_human,escalate,Seed-generated evaluation example for the Verizon support task.
t187,@VerizonSupport Please connect me with a specialist,human_support,needs_human,escalate,Seed-generated evaluation example for the Verizon support task.
t188,@VerizonSupport This issue needs a real agent,human_support,needs_human,escalate,Seed-generated evaluation example for the Verizon support task.
t189,@VerizonSupport Can you send me a secure DM,human_support,needs_human,escalate,Seed-generated evaluation example for the Verizon support task.
t190,"@VerizonSupport I need help from a person, not the app",human_support,needs_human,escalate,Seed-generated evaluation example for the Verizon support task.
t191,@VerizonSupport I need a human to review this,human_support,needs_human,escalate,Seed-generated evaluation example for the Verizon support task.
t192,@VerizonSupport Please connect me with a specialist,human_support,needs_human,escalate,Seed-generated evaluation example for the Verizon support task.
t193,@VerizonSupport This issue needs a real agent,human_support,needs_human,escalate,Seed-generated evaluation example for the Verizon support task.
t194,@VerizonSupport Can you send me a secure DM,human_support,needs_human,escalate,Seed-generated evaluation example for the Verizon support task.
t195,"@VerizonSupport I need help from a person, not the app",human_support,needs_human,escalate,Seed-generated evaluation example for the Verizon support task.
t196,@VerizonSupport I need a human to review this,human_support,needs_human,escalate,Seed-generated evaluation example for the Verizon support task.
t197,@VerizonSupport Please connect me with a specialist,human_support,needs_human,escalate,Seed-generated evaluation example for the Verizon support task.
t198,@VerizonSupport This issue needs a real agent,human_support,needs_human,escalate,Seed-generated evaluation example for the Verizon support task.
t199,@VerizonSupport Can you send me a secure DM,human_support,needs_human,escalate,Seed-generated evaluation example for the Verizon support task.
t200,"@VerizonSupport I need help from a person, not the app",human_support,needs_human,escalate,Seed-generated evaluation example for the Verizon support task.
